date,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl
2021-02-16,0.0,8652.835866005666,-2014.220411983701,-17723.554691189514,3148.9571053550026
2021-02-17,0.0,2370.199940725669,1090.3782925348344,-21620.99767978664,5142.854406430299
2021-02-18,0.0,16.48959295845109,1058.3858691942294,-24407.588320597948,7826.882501198232
2021-02-19,-7.275957614183426e-12,7865.572917338167,-24351.835865189125,-23846.37722976873,7160.303611249226
2021-02-22,47238.299837783794,20350.94399047866,741.2305684806415,-20796.986279049725,-25960.02810416733
2021-02-23,-4.547473508864641e-13,7473.117771771695,25486.070645160933,-25737.386645938725,7055.263220259907
2021-02-24,7.275957614183426e-12,74700.03383709327,45096.30555419876,-26899.53841745902,-1076.4447228168428
2021-02-25,0.0,151290.94715055914,-25824.98943782041,-22643.9139344045,14002.694124096539
2021-02-26,2.1827872842550278e-11,96606.40224446062,48874.60922418168,-34045.53720340444,-11725.13128821741
2021-03-01,53576.44349051587,96743.30024841228,50901.92792091133,-22330.012129775743,-26300.268736372236
2021-03-02,3.637978807091713e-12,33580.6747937256,24493.238471675428,-35056.688355972925,9179.715960464826
2021-03-03,1.8189894035458565e-12,1051.003220866821,-8356.087257503901,-38315.1470304894,11350.447540886627
2021-03-04,0.0,1759.1115522949367,-5582.414229174701,-40222.414495089775,11061.387347876858
2021-03-05,7.275957614183426e-12,58486.40963919972,20872.39831777597,-44115.00428570852,22581.760772659603
2021-03-08,-63411.87668007627,36420.34109065952,31848.711174466698,-29681.312048241714,-33249.24447376329
2021-03-09,0.0,7283.874520738063,-8226.395277337399,-27898.88030253387,12203.88346463674
2021-03-10,0.0,2055.7840845975047,10735.307985344587,-23314.08605344587,6865.862921005639
2021-03-11,1.4551915228366852e-11,5052.399868570048,-3749.9930094615825,-22042.682591396202,4161.195193510241
2021-03-12,0.0,1196.7174250505902,-19921.9145048278,-25894.250096709417,22747.027484294813
2021-03-15,9738.950090063303,452.471525313455,37031.13046037393,-19618.695605578054,-27943.42918506853
2021-03-16,7.275957614183426e-12,1048.565374210626,7442.3217491447995,-24893.152280045066,6402.158306476791
2021-03-17,-7.275957614183426e-12,1776.7612753897747,2578.129627034967,-28502.72672004427,8363.966504217027
2021-03-18,0.0,21126.384756502983,-61421.24333320106,-28260.089997612125,4625.959886125755
2021-03-19,1.8189894035458565e-12,616.3337609272165,-318.76483251022364,-23791.038405071333,8883.845224143079
2021-03-22,-8617.45636417876,528.9734048584869,32241.559713711486,-20829.658272534532,-28024.19646249027
2021-03-23,-1.4551915228366852e-11,53359.075396618544,-26084.40530289628,-24547.67123273131,6670.3840696923435
2021-03-24,2.1827872842550278e-11,38265.27147459724,50953.22342523107,-26288.274973438994,4135.708634789713
2021-03-25,0.0,1053.8299956550725,-19801.169236263617,-28937.818881507068,11486.569790225178
2021-03-26,7.275957614183426e-12,24006.17670904349,-20992.210120671807,-24931.90918290057,15300.646435781146
2021-03-29,-50698.900367176495,19749.774417373334,46386.345136200296,-25246.594097599038,-35179.71292604944
2021-03-30,7.275957614183426e-12,9327.340279621698,8586.465923965872,-27916.94018160945,6978.411879829957
2021-03-31,-9.094947017729282e-13,108.92767022559578,17013.126986919455,-27350.174895988075,6788.507151516493
2021-04-01,-1.8189894035458565e-12,335.2120618595665,-44365.21211778812,-30616.306762781816,13383.535295096619
2021-04-02,9.094947017729282e-13,84.8555667498373,-9695.775399087983,-24906.96275512938,16648.285486153778
2021-04-05,17327.389266175156,2422.538586172143,39071.370358589666,-23215.5557974766,-33643.985141853365
2021-04-06,0.0,5643.503865796612,-26624.06699959275,-29882.744249436553,8619.26458590648
2021-04-07,-9.094947017729282e-13,1864.2302739200472,21742.955215700196,-30552.30312417427,6923.359486723435
2021-04-08,-1.8189894035458565e-12,4073.3517730663807,-46055.14636269482,-34908.831891168295,13303.566138572103
2021-04-09,1.8189894035458565e-12,10345.35854817215,-46570.549411390704,-31644.299936915442,15834.107127554322
2021-04-12,5200.332269952509,611.1175604517712,23013.63583651164,-22843.600666619826,-30752.31115175268
2021-04-13,1.8189894035458565e-12,2752.6863664496213,-13498.461970554068,-27296.175324809476,8095.079644612735
2021-04-14,0.0,53229.496034308046,33223.44387413718,-28839.570881641743,3052.2251406130817
2021-04-15,7.275957614183426e-12,4243.86232261069,-2404.8425739981703,-28103.262113499437,14375.389837832487
2021-04-16,0.0,137.6653268508959,-30367.130451068304,-22375.05660428003,13066.652793383466
2021-04-19,-42029.64233459127,15790.812179224078,40793.01833746197,-20462.204029261018,-29105.63137734471
2021-04-20,0.0,45148.520515752185,3962.6472034831118,-22005.706174035084,8176.346595871219
2021-04-21,-3.637978807091713e-12,6539.307898217438,-548.4789997898861,-30234.275223724926,9775.907907116005
2021-04-22,0.0,1897.9198749354236,-26664.22427115206,-30264.05614652849,11487.206097445283
2021-04-23,-4.547473508864641e-13,278.2670111915375,-18030.08588638164,-27001.917548341095,13005.363076265858
2021-04-26,-19649.812647690756,4985.091941013589,20816.744957360974,-21874.04873766086,-28280.382082574244
2021-04-27,-3.637978807091713e-12,4949.968564498205,-14371.757315487772,-25625.669570751583,9697.135940805008
2021-04-28,0.0,56374.72705683426,37645.320993953144,-24474.553933659216,-4536.152943835099
2021-04-29,0.0,708.08071724663,-2812.0600704329127,-19608.374036008263,6934.560567176122
2021-04-30,-2.9103830456733704e-11,24203.069590266856,-20234.70787818602,-18711.892378491455,-3205.81030129196
2021-05-03,-3924.06436183564,258.265767947398,33795.82564313145,-19776.858135346774,-27465.82215349416
2021-05-04,0.0,4832.284366963128,14578.800631134884,-23870.645488467748,6078.4525732533875
2021-05-05,1.8189894035458565e-12,1379.0901391252044,-21875.108041593594,-28263.652110760842,8669.536938147648
2021-05-06,1.8189894035458565e-12,1373.44501487604,-15823.333924150482,-28389.867684145058,13890.531235713253
2021-05-07,1.8189894035458565e-12,707.0416406076979,-22687.14440013817,-23665.89525998379,15640.265512800586
2021-05-10,30529.390055251646,9325.050747248764,27242.283231948153,-21373.666127017346,-29636.128232043146
2021-05-11,-1.7053025658242404e-13,35.621454527025385,37982.69537323157,-26559.86932878333,5530.71411382818
2021-05-12,0.0,8422.230366111442,-9975.01748770242,-31316.236715942654,10461.75231531737
2021-05-13,7.275957614183426e-12,7963.200331222907,8060.477807725004,-31506.720257467707,11024.817647753007
2021-05-14,2.9103830456733704e-11,102879.14634944993,-17405.83262441329,-30090.285489960315,21145.01513491261
2021-05-17,32856.23625912773,26935.013364357343,-4172.006988484226,-23233.24592335345,-27940.454528826973
2021-05-18,0.0,158.17594145313402,3549.2150075960385,-27061.847944996938,7557.9588985313385
2021-05-19,0.0,58297.19217227597,39924.95525499505,-29042.71355268062,-1540.1662542333652
2021-05-20,7.275957614183426e-12,4620.556551547929,-16070.437260491768,-28647.990430914993,17726.887673997637
2021-05-21,5.820766091346741e-11,25750.858313214547,-5292.301094376007,-20506.31559814474,12637.819925895106
2021-05-24,34445.665600294495,5410.480626685194,18018.251290120854,-14111.073082652301,-19702.87029346892
