date,Straddle,Call Ratio Spread,Calendar Spread,straddle_momentum
2021-03-23,1641679.58266217,185092.2748242278,980794.6669657982,456891.9057439725
2021-03-24,1708745.5112233493,167633.51468112704,1036049.178763438,465195.2127889845
2021-03-25,1672546.922891459,168325.06059280664,1023415.3621419495,457693.1799244948
2021-03-26,1871142.1734084163,178529.30461479927,1100482.6070328758,458396.145909873
2021-03-29,1482338.1435400837,181082.9416380581,1115038.0107504723,63882.303511615144
2021-03-30,1479313.4214418917,185434.87313430852,1108833.0275047016,63882.303511615144
2021-03-31,1475873.8083545654,184236.12033404713,1088540.932556163,63882.303511615144
2021-04-01,1414611.0368309515,175334.49165900817,1072683.9889239932,63882.303511615144
2021-04-02,1587930.8996339557,193509.7080838996,1143465.4260744022,63882.303511615144
2021-04-05,1426718.4840548497,202437.21686614447,1129846.7482924243,63882.303511615144
2021-04-06,1384474.4412575234,203144.88589780362,1103759.2844162325,63882.303511615144
2021-04-07,1384452.683109693,205736.81514357775,1098047.307501379,63882.303511615144
2021-04-08,1320865.6227674684,197781.31255125385,1093650.2919508894,63882.303511615144
2021-04-09,1457033.5441245805,213652.68733089752,1146091.397617915,252085.60854130698
2021-04-12,1390502.0615154894,191636.07946960605,1150436.0819155253,244963.09119260014
